"WebID","Area","Data_label","2016","2016%","2011","2011%","2006","2006%","2001","2001%","Data Type",
"20","Greater Capital Cities","Uruguay","7715","0.0508","8109","0.0590","8470","0.0673","8707","0.0737","UR",
"20","Greater Capital Cities","Vanuatu","688","0.0045","699","0.0051","630","0.0050","580","0.0049","UR",
"20","Greater Capital Cities","Zambia","4700","0.0310","4250","0.0309","3143","0.0250","2445","0.0207","UR",
"20","Greater Capital Cities","Zimbabwe","24769","0.1632","21087","0.1534","13934","0.1106","8732","0.0739","UR",
"20","Greater Capital Cities","Bhutan","4013","0.0264","1597","0.0116","","","","","UR",
"40","New South Wales","Bosnia and Herzegovina","7095","0.0949","7677","0.1110","7183","0.1098","7023","0.1112","UR",
"40","New South Wales","Canada","13290","0.1777","11910","0.1722","10187","0.1558","9256","0.1466","UR",
"40","New South Wales","China","234508","3.1351","156089","2.2564","113851","1.7411","85374","1.3518","UR",
"40","New South Wales","Croatia","15638","0.2091","17768","0.2569","18445","0.2821","18412","0.2915","UR",
"40","New South Wales","Egypt","19724","0.2637","18410","0.2661","17171","0.2626","17355","0.2748","UR",
"40","New South Wales","Fiji","33879","0.4529","32311","0.4671","28549","0.4366","27103","0.4292","UR",
"40","New South Wales","North Macedonia","16501","0.2206","17156","0.2480","17643","0.2698","19055","0.3017","UR",
"40","New South Wales","Germany","29541","0.3949","31064","0.4491","31025","0.4745","31618","0.5006","UR",
"40","New South Wales","Greece","29481","0.3941","31594","0.4567","35042","0.5359","36820","0.5830","UR",
"40","New South Wales","Hong Kong","42347","0.5661","38598","0.5580","38291","0.5856","37595","0.5953","UR",
"40","New South Wales","India","143459","1.9179","95428","1.3795","57031","0.8722","37814","0.5988","UR",
"40","New South Wales","Indonesia","31774","0.4248","26772","0.3870","21848","0.3341","21019","0.3328","UR",
"40","New South Wales","Iraq","40271","0.5384","29309","0.4237","20494","0.3134","15741","0.2492","UR",
"40","New South Wales","Ireland","24038","0.3214","21887","0.3164","17241","0.2637","17642","0.2793","UR",
"40","New South Wales","Italy","49476","0.6614","51635","0.7464","55125","0.8430","60585","0.9593","UR",
"40","New South Wales","Japan","14008","0.1873","12109","0.1750","11150","0.1705","10187","0.1613","UR",
"40","New South Wales","Lebanon","57381","0.7671","56287","0.8137","55685","0.8516","53254","0.8432","UR",
"40","New South Wales","Malaysia","31655","0.4232","27237","0.3937","23373","0.3574","21043","0.3332","UR",
"40","New South Wales","Malta","14481","0.1936","15794","0.2283","16973","0.2596","18415","0.2916","UR",
"40","New South Wales","Netherlands","16900","0.2259","18162","0.2625","18745","0.2867","20268","0.3209","UR",
"40","New South Wales","New Zealand","117136","1.5660","114210","1.6510","106273","1.6252","105562","1.6715","UR",
"40","New South Wales","Papua New Guinea","5466","0.0731","5481","0.0792","5252","0.0803","5508","0.0872","UR",
